publication_id	work_group_id	canonical_flag	duplicate_of	recommended_review_status	recommended_trust_level	reason	missing_fields	validation_notes
CAND_PUB_CellRank_4aa201bf932e	PUBWG_CAND_PUB_CellRank_4aa201bf932e	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains non-preprint version		candidate_only; canonical_suggestion_not_verified; supporting_record_type:protocol
CAND_PUB_CellRank_9c9c58a5793d	PUBWG_CAND_PUB_CellRank_9c9c58a5793d	true		review_needed	review_needed	canonical candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=0.75; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; canonical_suggestion_not_verified; preprint_or_preprint_like_source
CAND_PUB_CellRank_d91736322bb3	PUBWG_CAND_PUB_CellRank_9c9c58a5793d	false	CAND_PUB_CellRank_9c9c58a5793d	review_needed	retrieval_only	duplicate candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=0.75; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; duplicate_suggestion_not_verified
CAND_PUB_scvi-tools_06f87e54c475	PUBWG_CAND_PUB_scvi-tools_06f87e54c475	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains non-preprint version		candidate_only; canonical_suggestion_not_verified; supporting_record_type:application_paper
CAND_PUB_scvi-tools_b2bdf72116bf	PUBWG_CAND_PUB_scvi-tools_b2bdf72116bf	true		review_needed	review_needed	canonical candidate; group_size=1; has DOI; contains non-preprint version		candidate_only; canonical_suggestion_not_verified; supporting_record_type:application_paper
CAND_PUB_scvi-tools_a9c3e64c6338	PUBWG_CAND_PUB_scvi-tools_e983ebf1014d	false	CAND_PUB_scvi-tools_e983ebf1014d	review_needed	retrieval_only	duplicate candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; duplicate_suggestion_not_verified; preprint_or_preprint_like_source; supporting_record_type:application_paper
CAND_PUB_scvi-tools_e983ebf1014d	PUBWG_CAND_PUB_scvi-tools_e983ebf1014d	true		review_needed	review_needed	canonical candidate; group_size=2; distinct DOIs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version		candidate_only; duplicate_group_requires_manual_review; canonical_suggestion_not_verified; supporting_record_type:application_paper
