publication_id	work_group_id	canonical_flag	duplicate_of	record_type	source_record_id	tool_name	tool_alias	title	authors	first_author	corresponding_author	doi	pmid	arxiv_id	paper_url	pdf_url	publication_year	venue	publisher	paper_type	evidence_role	abstract	keywords	task	modality	species	technology	dataset_names	benchmark_included	open_source_reported	github_url	license_reported	citation_source	citations	citation_count_source	source_url	source_type	extraction_method	claim_text	claim_span	confidence	trust_level	review_status	reviewed_by	review_time	kg_version	embedding_version	created_at	updated_at	last_checked	notes	group_size	group_reason	canonical_score
CAND_PUB_CellRank_4aa201bf932e	PUBWG_CAND_PUB_CellRank_4aa201bf932e	true		publication	10.1038/s41596-025-01314-w	CellRank	cellrank;CellRank	CellRank: consistent and data view agnostic fate mapping for single-cell genomics	Philipp Weiler;Fabian J. Theis	Philipp Weiler		10.1038/s41596-025-01314-w			https://doi.org/10.1038/s41596-025-01314-w	https://www.nature.com/articles/s41596-025-01314-w.pdf	2026	Nature Protocols	Springer Science and Business Media LLC	protocol	workflow_support			Spatial Mapping					false		https://github.com/theislab/cellrank	BSD-3-Clause	Crossref	0	Crossref:is-referenced-by-count	https://doi.org/10.1038/s41596-025-01314-w	crossref	crossref_api_candidate_search		CellRank: consistent and data view agnostic fate mapping for single-cell genomics	0.700	review_needed	pending			v0.1	bge-m3-v0.1	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	candidate_only; requires human review before ingest	1	has DOI; has source URL; contains non-preprint version	91.2600
CAND_PUB_CellRank_d91736322bb3	PUBWG_CAND_PUB_CellRank_9c9c58a5793d	false	CAND_PUB_CellRank_9c9c58a5793d	publication	10.21203/rs.3.rs-94819/v1	CellRank	cellrank;CellRank	CellRank for directed single-cell fate mapping	Marius Lange;Volker Bergen;Michal Klein;Manu Setty;Bernhard Reuter;Mostafa Bakhti;Heiko Lickert;Meshal Ansari;Janine Schniering;Herbert Schiller;Dana Pe'er;Fabian Theis	Marius Lange		10.21203/rs.3.rs-94819/v1			https://doi.org/10.21203/rs.3.rs-94819/v1		2020		Springer Science and Business Media LLC	method_paper	primary_method_reference			Spatial Mapping					false		https://github.com/theislab/cellrank	BSD-3-Clause	Crossref	18	Crossref:is-referenced-by-count	https://doi.org/10.21203/rs.3.rs-94819/v1	crossref	crossref_api_candidate_search		CellRank for directed single-cell fate mapping	0.850	review_needed	pending			v0.1	bge-m3-v0.1	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	candidate_only; requires human review before ingest	2	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=0.75; contains preprint version; contains non-preprint version	91.1444
CAND_PUB_CellRank_9c9c58a5793d	PUBWG_CAND_PUB_CellRank_9c9c58a5793d	true		publication	10.1101/2020.10.19.345983	CellRank	cellrank;CellRank	CellRank for directed single-cell fate mapping	Marius Lange;Volker Bergen;Michal Klein;Manu Setty;Bernhard Reuter;Mostafa Bakhti;Heiko Lickert;Meshal Ansari;Janine Schniering;Herbert B. Schiller;Dana Pe’er;Fabian J. Theis	Marius Lange		10.1101/2020.10.19.345983			https://doi.org/10.1101/2020.10.19.345983		2020		openRxiv	method_paper	primary_method_reference			Spatial Mapping					false		https://github.com/theislab/cellrank	BSD-3-Clause	Crossref	23	Crossref:is-referenced-by-count	https://doi.org/10.1101/2020.10.19.345983	crossref	crossref_api_candidate_search		CellRank for directed single-cell fate mapping	0.850	review_needed	pending			v0.1	bge-m3-v0.1	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	candidate_only; requires human review before ingest; duplicate_version; keep for provenance, exclude from ranking	2	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=0.75; contains preprint version; contains non-preprint version	91.3781
CAND_PUB_scvi-tools_06f87e54c475	PUBWG_CAND_PUB_scvi-tools_06f87e54c475	true		publication	10.64898/2026.02.11.705441	scvi-tools	scVI;scvi;scvi-tools	Improving SCVI for low-count cells through self-supervised augmentation	Valentine Svensson	Valentine Svensson		10.64898/2026.02.11.705441			https://doi.org/10.64898/2026.02.11.705441		2026		openRxiv	application_paper	application_evidence								false		https://github.com/YosefLab/scvi-tools	BSD-3-Clause	Crossref	0	Crossref:is-referenced-by-count	https://doi.org/10.64898/2026.02.11.705441	crossref	crossref_api_candidate_search		Improving SCVI for low-count cells through self-supervised augmentation	0.650	review_needed	pending			v0.1	bge-m3-v0.1	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	candidate_only; requires human review before ingest	1	has DOI; has source URL; contains non-preprint version	68.2600
CAND_PUB_scvi-tools_b2bdf72116bf	PUBWG_CAND_PUB_scvi-tools_b2bdf72116bf	true		publication	10.1186/s13059-022-02774-z	scvi-tools	scVI;scvi;scvi-tools	Normalization and de-noising of single-cell Hi-C data with BandNorm and scVI-3D	Ye Zheng;Siqi Shen;Sündüz Keleş	Ye Zheng		10.1186/s13059-022-02774-z			https://doi.org/10.1186/s13059-022-02774-z	https://link.springer.com/content/pdf/10.1186/s13059-022-02774-z.pdf	2022	Genome Biology	Springer Science and Business Media LLC	application_paper	application_evidence				single-cell Hi-C				false		https://github.com/YosefLab/scvi-tools	BSD-3-Clause	Crossref	41	Crossref:is-referenced-by-count	https://doi.org/10.1186/s13059-022-02774-z	crossref	crossref_api_candidate_search		Normalization and de-noising of single-cell Hi-C data with BandNorm and scVI-3D	0.550	review_needed	pending			v0.1	bge-m3-v0.1	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	candidate_only; requires human review before ingest	1	has DOI; has source URL; contains non-preprint version	89.9577
CAND_PUB_scvi-tools_a9c3e64c6338	PUBWG_CAND_PUB_scvi-tools_e983ebf1014d	false	CAND_PUB_scvi-tools_e983ebf1014d	publication	10.1101/2024.03.01.582887	scvi-tools	scVI;scvi;scvi-tools	Scvi-hub: an actionable repository for model-driven single cell analysis	Can Ergen;Valeh Valiollah Pour Amiri;Martin Kim;Aaron Streets;Adam Gayoso;Nir Yosef	Can Ergen		10.1101/2024.03.01.582887			https://doi.org/10.1101/2024.03.01.582887		2024		openRxiv	application_paper	application_evidence								false		https://github.com/YosefLab/scvi-tools	BSD-3-Clause	Crossref	6	Crossref:is-referenced-by-count	https://doi.org/10.1101/2024.03.01.582887	crossref	crossref_api_candidate_search		Scvi-hub: an actionable repository for model-driven single cell analysis	0.500	review_needed	pending			v0.1	bge-m3-v0.1	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	candidate_only; requires human review before ingest; duplicate_version; keep for provenance, exclude from ranking	2	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version	70.1859
CAND_PUB_scvi-tools_e983ebf1014d	PUBWG_CAND_PUB_scvi-tools_e983ebf1014d	true		publication	10.1038/s41592-025-02799-9	scvi-tools	scVI;scvi;scvi-tools	Scvi-hub: an actionable repository for model-driven single-cell analysis	Can Ergen;Valeh Valiollah Pour Amiri;Martin Kim;Ori Kronfeld;Aaron Streets;Adam Gayoso;Nir Yosef	Can Ergen		10.1038/s41592-025-02799-9			https://doi.org/10.1038/s41592-025-02799-9	https://www.nature.com/articles/s41592-025-02799-9.pdf	2025	Nature Methods	Springer Science and Business Media LLC	application_paper	application_evidence								false		https://github.com/YosefLab/scvi-tools	BSD-3-Clause	Crossref	3	Crossref:is-referenced-by-count	https://doi.org/10.1038/s41592-025-02799-9	crossref	crossref_api_candidate_search		Scvi-hub: an actionable repository for model-driven single-cell analysis	0.650	review_needed	pending			v0.1	bge-m3-v0.1	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	2026-05-13T15:53:21.576679+00:00	candidate_only; requires human review before ingest	2	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version	87.6363
