work_group_id	record_type	group_size	canonical_id	member_ids	group_reason
PUBWG_CAND_PUB_CellRank_4aa201bf932e	publication	1	CAND_PUB_CellRank_4aa201bf932e	CAND_PUB_CellRank_4aa201bf932e	has DOI; has source URL; contains non-preprint version
PUBWG_CAND_PUB_CellRank_9c9c58a5793d	publication	2	CAND_PUB_CellRank_9c9c58a5793d	CAND_PUB_CellRank_d91736322bb3;CAND_PUB_CellRank_9c9c58a5793d	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=0.75; contains preprint version; contains non-preprint version
PUBWG_CAND_PUB_scvi-tools_06f87e54c475	publication	1	CAND_PUB_scvi-tools_06f87e54c475	CAND_PUB_scvi-tools_06f87e54c475	has DOI; has source URL; contains non-preprint version
PUBWG_CAND_PUB_scvi-tools_b2bdf72116bf	publication	1	CAND_PUB_scvi-tools_b2bdf72116bf	CAND_PUB_scvi-tools_b2bdf72116bf	has DOI; has source URL; contains non-preprint version
PUBWG_CAND_PUB_scvi-tools_e983ebf1014d	publication	2	CAND_PUB_scvi-tools_e983ebf1014d	CAND_PUB_scvi-tools_a9c3e64c6338;CAND_PUB_scvi-tools_e983ebf1014d	distinct DOIs; distinct source URLs; title similarity max=1.00; author overlap max=1.00; contains preprint version; contains non-preprint version
